employer_names,lon,lat
"A1 EDUCATION INSTITUTE, INC.",-118.0578456,34.1072305
"A9.COM, INC.",-122.1430195,37.4418834
AAA GLOBAL TECHNOLOGIES LLC,-94.3985475,35.3859242
"AARISHA, INC",-76.8483061,39.0992752
"AAXY, LLC",-97.7430608,30.267153
ABBOTT LABORATORIES,-122.2416355,37.7652065
ABEAM CONSULTING (USA) LTD.,-81.339552,41.6661573
ABERCROMBIE & FITCH TRADING CO.,-82.8087864,40.0811745
ABINGTON MEMORIAL HOSPITAL,-75.1195107,40.1240795
ABYSSUS INC,-88.2919947,40.7536464
ABZOOBA INC.,-76.7983067,39.2673283
ACCEL INTERNATIONAL INC.,-96.9488945,32.8140177
"ACCELERANT SOFTWARE, INC",-117.6664308,33.6831832
ACCELERATED INNOVATORS INC,-73.2531985,40.7848956
ACCENDO SOFTWARE CORPORATION,-77.7199932,39.6417629
ACCENTURE LLP,-83.9508068,43.4194699
ACCENTURE LLP,-92.9593797,44.9238552
ACCENTURE LLP,-94.8994355,38.8226337
ACCENTURE LLP,-83.627157,41.556996
ACCENTURE LLP,-74.1562551,40.7464901
ACCENTURE LLP,-74.5747248,40.8478065
ACCENTURE LLP,-74.2390828,40.7985699
ACCENZ LLC,-83.0457538,42.331427
ACCESS HEALTH CARE PHYSICIANS LLC,-82.3878709,28.5552719
"ACCUBUILD TEXAS, LLC",-97.6779842,30.6332618
"ACE MANAGEMENT, INC.",-111.6946475,40.2968979
ACI WORLDWIDE CORP.,-96.2368465,41.2831958
ACLOR INC,-73.6342954,40.7267682
"ACT, INC.",-91.5301683,41.6611277
ACTIVETHEORY LLC,-118.4694832,33.9850469
ACTIVMED PRACTICES AND RESEARCH,-71.1908924,42.7262016
ACURUS SOLUTIONS INC.,-117.7490656,33.8508021
ACXIOM CORPORATION,-84.3982763,39.5150576
ACXIOM CORPORATION,-92.4421011,35.0886963
"AD BEAUTY CHANNEL, INC",-73.9726381,40.8928771
"ADAOTIVE, INC.",-117.7831104,33.5422475
"ADASIA COMMUNICATIONS, INC.",-73.9523597,40.8853773
"ADECCO GROUP NA/MODIS, INC.",-83.2341028,42.6875323
"ADECCO GROUP NA/MODIS, INC.",-71.1828321,42.3709299
"ADECCO GROUP NA/MODIS, INC.",-79.9119948,40.4059025
ADEPT COMPUTER CONSULTANTS INC,-83.6082346,42.5149364
"ADEPT COMPUTER CONSULTANTS, INC.",-80.8100724,35.5848596
ADHIKAAR FOR HUMAN RIGHTS AND SOCIAL JUSTICE,-73.9036487,40.7512123
ADISYS CORPORATION,-122.2015159,47.6101497
ADITI TECHNOLOGIES PVT. LTD.,-122.2055883,47.76095
ADITI TECHNOLOGIES PVT. LTD.,-122.121512,47.6739881
ADITI TECHNOLOGIES PVT. LTD.,-84.2940899,34.0753762
ADITI TECHNOLOGIES PVT. LTD.,-122.2609558,47.4739884
"ADJUVET, INC.",-122.4442906,47.2528768
ADOBE SYSTEMS INCORPORATED,-118.1047866,33.7414064
"ADS ALLIANCE DATA SYSTEMS, INC.",-73.354287,40.718155
"ADS ALLIANCE DATA SYSTEMS, INC.",-88.2039607,41.8847507
ADT LLC,-80.1289321,26.3683064
ADVANCE SOLUTIONS CORPORATION,-74.0593075,40.8598219
ADVANCED CLINICAL HOLDINGS LLC,-74.4500053,40.821763
ADVANCED REPRODUCTIVE HEALTH CENTER LTD,-87.7416246,42.0324025
"ADVANCED SUPPLY CHAIN INTERNATIONAL, LLC",-149.9002778,61.2180556
ADVANCED TECHNOLOGY GROUP USA INC,-74.6672226,40.3572976
"ADVANTAGE TECHNICAL SERVICES, INC.",-83.1763145,42.3222599
ADVANTAGE TESTING OF WESTCHESTER LLC,-73.6837399,40.9806535
ADVANTECH CORPORATION,-121.8995741,37.4323341
ADVENT RESOURCES INC.,-118.2922461,33.7360619
ADVENTIST HEALTH SYSTEM SUNBELT,-81.3656242,28.6611089
"ADVENTURES IN MISSIONS, INC.",-83.8240663,34.2978794
ADVOCATE MEDICAL GROUP,-87.8833991,42.0333623
"AEGIS THERAPIES, INC.",-80.6072858,36.4993007
"AEGIS THERAPIES, INC.",-89.0939952,42.2711311
"AEGIS THERAPIES, INC.",-89.2178937,42.9169462
"AEGIS THERAPIES, INC.",-86.8849984,36.5092118
AES CORPORATION,-70.9286609,42.5278731
"AETC, INC.",-88.2825668,42.0354084
AF LLC,-119.7526886,39.5349112
AFFILIATED VETERINARY SPECIALISTS PA,-81.3631244,28.6277767
"AFFINITY INSURANCE SERVICES, INC.",-75.1068388,40.1742757
"AFFYMETRIX, INC.",-122.2852473,37.831316
AFRICA SYSTEMS LIMITED LIABILITY COMPANY,-74.1598725,40.8223168
"AFTER HOURS VETERINARY EMERGENCY CLINIC, INC.",-147.7163889,64.8377778
"AGAMA SOLUTIONS, INC.",-90.1994042,38.6270025
"AGAMATRIX, INC.",-71.2008912,42.7885553
AGCO CORPORATION,-97.4314267,38.1383437
AGERO ADMINISTRATIVE SERVICE CORP.,-71.1061639,42.4184296
"AGILENT TECHNOLOGIES, INC.",-119.5184564,34.3988838
AGILITY LOGISTICS CORP.,-84.6007773,39.0167275
"AGREEYA SOLUTIONS, INC.",-71.5375718,43.2081366
"AGRUSA, INC.",-73.9881942,40.8614887
"AIR INTERNATIONALE, LLC",-121.7680088,37.6818745
"AIT GLOBAL, INC",-79.4377991,36.0956918
AJO UNIFIED SCHOOL DISTRICT #15,-112.8607099,32.3717248
"AK SYSTEMS, INC.",-74.4120953,40.5187154
"AKG NORTH AMERICAN OPERATIONS, INC.",-79.2669619,36.0959715
"AKQA, INC.",-122.4194155,37.7749295
"AKT, LLC.",-74.0437521,41.1131514
"ALARM LOCK SYSTEMS, LLC",-73.4170673,40.6789893
ALCATEL-LUCENT USA INC,-74.4012651,40.6951408
"ALCES TECHNOLOGY, INC.",-110.7624282,43.4799291
"ALERE SCARBOROUGH, INC.",-70.3344921,43.5901974
ALICE HYDE MEDICAL CENTER,-74.2948983,44.8486596
"ALIN MACHINING CO, INC.",-87.8567276,41.9005865
"ALINDUS, INC.",-122.9093063,47.0073187
"ALINDUS, INC.",-88.2667534,42.333355
ALL SAINTS ACADEMY,-81.7328567,28.0222435
ALLEGHENY COLLEGE,-80.1514484,41.6414438
ALLEGION PLC,-105.2210997,39.755543
ALLGREEN WORLDWIDE EXPRESS CORP.,-122.3916754,40.5865396
ALLIANCE CULTURAL MEDIA INC,-77.2794288,39.2387164
"ALLIED DIGITAL SERVICES, LLC",-84.8902382,39.8289369
"ALLIED PHYSICIANS OF MICHIANA, LLC",-86.1586156,41.6619927
"ALLIED TRADE GROUP, INC.",-122.2059833,47.6768927
"ALMAC CENTRAL MANAGEMENT, LLC",-75.3251759,40.3117706
ALPHA ACADEMY,-78.8783585,35.0526641
ALPHA IMAGING TECHNOLOGY INC.,-117.9586754,34.0197335
ALPHA STUDIO LLC,-112.0740373,33.4483771
"ALPHA TECHNOLOGIES, INC.",-122.4786854,48.7519112
"ALPHAVISTA SERVICES, INC.",-121.5682751,37.0057816
"ALPHAVISTA SERVICES, INC.",-117.9608978,34.0852868
"ALPHAVISTA SERVICES, INC.",-122.0399663,38.2493581
"ALPHAVISTA SERVICES, INC.",-117.3136547,34.0739016
"ALPHAVISTA SERVICES, INC.",-122.2566367,38.1040864
"ALSTOM TRANSPORTATION, INC.",-77.6632587,43.0384885
"ALTAIR PRODUCTDESIGN, INC.",-83.6003703,42.5916684
"ALTARE PUBLISHING, INC.",-73.975694,40.8270448
ALTERNATIVE HEALTHCARE  VENTURES IN AMERICA  (AHVIA) STAFFING SOLUTION,-74.1329207,40.9628758
"ALTMAN SPECIALTY PLANTS, INC.",-117.2425355,33.2000368
AM/NS CALVERT LLC,-88.0099997,31.1551748
AMARAM TECHNOLOGY CORPORATION,-77.2652604,38.9012225
AMARAM TECHNOLOGY CORPORATION,-122.0838511,37.3860517
"AMAZECH SOLUTIONS, LLC",-117.6625509,33.5016932
AMAZON CORPORATE LLC,-122.3320708,47.6062095
AMAZON CORPORATE LLC,-122.0363496,37.36883
AMAZON CORPORATE LLC,-122.1410751,37.4688273
AMAZON.COM.AZDC LLC,-72.8230736,41.4570108
AMAZON.COM.DEDC LLC,-81.0739825,33.9934867
"AMAZON.COM.DEDC, LLC",-88.0817251,41.525031
"AMAZON.COM.DEDC, LLC",-86.39027,35.8456213
"AMAZON.COM.DEDC, LLC",-87.8211854,42.5847425
"AMAZON.COM.DEDC, LLC",-74.2851469,40.5803818
"AMAZON.COM.DEDC, LLC",-81.9498042,28.0394654
"AMAZON.COM.DEDC, LLC",-75.7163207,39.449556
"AMAZON.COM.DEDC, LLC",-74.2282005,40.5773266
"AMAZON.COM.DEDC, LLC",-75.631484,40.5393961
"AMAZON.COM.DEDC, LLC",-88.0895061,41.6475306
"AMAZON.COM.DEDC, LLC",-122.6447892,47.1003223
"AMAZON.COM.DEDC, LLC",-81.9320482,34.9495672
AMAZON.COM.INDC LLC,-85.7371847,38.2775702
AMAZON.COM.KYDC LLC,-77.4416505,37.3568157
AMAZON.COM.KYDC LLC,-119.8138027,39.5296329
AMAZON.COM.KYDC LLC,-97.9413941,29.8832749
AMAZON.COM.KYDC LLC,-89.953157,38.8114364
AMAZON.COM.KYDC LLC,-84.7031888,39.0661472
"AMAZON.COM.NVDC, INC.",-93.5272861,44.7973962
"AMC TECHNOLOGY, LLC",-77.6490005,37.5061069
AMDOCS INC.,-84.3346473,33.9462125
"AMDOCS, INC.",-66.1110682,18.3615548
AMENSYS INC,-80.1071379,40.6849626
"AMERESCO, INC.",-73.1690019,40.8042649
AMERICA MODERN GREEN DEVELOPMENT HOUSTON LLC,-95.2860474,29.5635666
AMERICA YOSEMITE NETWORK SOLUTIONS INC.,-117.9495083,34.0200114
"AMERICAN EAGLE OUTFITTERS, INC.",-80.0794925,40.6532076
"AMERICAN EXECUTIVE SEDAN, INC.",-77.4291298,39.0066993
AMERICAN GEAR TECHNOLOGY INC.,-117.8653386,34.0202894
AMERICAN GRANITE & TILE LLC,-85.6447492,42.8694731
AMERICAN GREENPOWER (USA) INC.,-117.6508876,34.0633443
AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS,-74.7909125,40.2599864
"AMERICAN INTERNATIONAL FOODS, INC.",-85.4954803,42.960727
"AMERICAN IT SOLUTIONS, INC.",-75.3785172,40.1295515
AMERICAN RISING SUN INC.,-118.1541632,34.6867846
AMERICAN SCHOLAR GROUP,-80.3911785,41.404499
"AMERICAN UNIT, INC",-94.1307587,36.2553543
"AMERISOURCEBERGEN SPECIALTY GROUP, INC.",-71.6411997,42.3195556
"AMG & ASSOCIATES, INC.",-118.5713823,34.456151
"AMIRIT TECHNOLOGIES, INC.",-122.0146841,37.0510595
AMITY & ELITE INSURANCE SERVICES INC.,-117.1610838,32.715738
AMNEAL PHARMACEUTICALS OF NEW YORK,-72.9932969,40.8858353
"AMPCUS, INC.",-85.1797142,42.3211522
"AMPHASTAR PHARMACEUTICALS, INC.",-117.5931084,34.1063989
AMPHION GLOBAL INC,-83.6129939,42.2411499
AMPLE IT SERVICES LLC,-74.7429384,40.2170534
"AMPLIFI COMMERCE, LLC",-96.8291685,32.96179
"AMSCAN, INC.",-73.8201337,41.0550969
"AMTEX SYSTEMS, INC.",-121.8746789,37.6624312
"AMZUR TECHNOLOGIES, INC",-82.5579537,28.1793926
ANAGH TECHNOLOGIES INC.,-74.4642861,40.554887
ANALOG DEVICES INC,-71.1989695,42.1943909
"ANCHOR LOANS, LP",-118.0647871,33.8583483
"ANCILE SOLUTIONS, INC.",-76.7625073,39.1978788
ANDERSON COMMUNITY SCHOOL CORPORATION,-85.6802541,40.1053196
ANDREWS UNIVERSITY,-86.338905,41.9464342
"ANIMAL DERMATOLOGY CLINIC MANAGEMENT GROUP, INC.",-117.826166,33.7458511
"ANIMAL EMERGENCY CLINIC OF FREDERICKSBURG, INC.",-77.4605399,38.3031837
ANITE,-77.4985673,38.9120704
ANNA SYSTEMS INC,-83.6299518,42.9275277
ANRITSU COMPANY,-121.6543901,37.1305012
"ANTHEM, INC.",-90.48344,41.56085
ANTRA INC.,-77.0947092,38.984652
"ANU SOFTWARE CONSULTANTS, INC.",-81.4023356,40.875891
AOE INC.,-122.34809,37.5778696
"AOL, INC.",-77.4478193,38.9558546
"AON NATIONAL FLOOD SERVICES, INC.",-86.1066526,39.6136578
APAC CHEMICAL CORPORATION,-118.0353449,34.1397292
"APEX TECHNOLOGY SYSTEMS, INC",-75.9652117,40.329537
"APPALACHIAN REGIONAL HEALTHCARE, INC",-83.1932284,37.24954
APPISOFT INC.,-74.3206696,40.7340454
APPLE INC.,-122.0321823,37.3229978
APPLEXUS TECHNOLOGIES LLC,-94.1288141,36.1867442
APPLEXUS TECHNOLOGIES LLC,-71.6829081,42.4167635
APPLEXUS TECHNOLOGIES LLC,-105.1708193,40.103874
APPLIED COMPUTER TECHNIQUES,-79.7881024,40.4211798
"APPLIED MATERIALS, INC.",-70.6619888,42.6159285
APPLIED STEMCELL INC.,-122.1817252,37.4529598
"APPS ASSOCIATES, LLC",-118.2120161,33.954737
"APPSFREEDOM, INC.",-74.4330474,40.336419
APPSTEK INC,-87.9534226,43.3197265
"APRICOT CONSULTING SERVICES, INC.",-80.0533746,26.7153424
APTEC LLC,-74.3039227,40.584867
APTIVA CORP,-74.0143064,40.7878788
APTTUS CORPORATION,-122.3255254,37.5629917
ARCADIA UNIVERSITY,-75.1527928,40.0999077
ARCELORMITTAL USA LLC,-87.4547635,41.6392024
ARCHDIOCESE OF AGANA/SANTA BARBARA CATHOLIC SCHOOL,144.851121,13.5452512
ARCHER DANIELS MIDLAND COMPANY,-88.9548001,39.8403147
"ARCHITECH SOLUTIONS, LLC",-75.5621309,41.4686924
ARCHON FIBERS LLC,-85.7635692,32.831238
"ARCHWAY MARKETING SERVICES, INC.",-83.3965994,42.2222614
"ARI-MEX FORWARDING AGENTS, INC.",-109.5453447,31.3445471
"ARIZONA BEVERAGES USA, LLC",-74.1059775,41.3645382
ARIZONA STATE UNIVERSITY,-111.9400054,33.4255104
"ARKANSAS SCHOOL FOR MATHEMATICS, SCIENCES & THE ARTS",-93.0551795,34.5037004
ARKANSAS STATE UNIVERSITY,-90.704279,35.8422967
ARNOLD WORLDWIDE,-71.0588801,42.3600825
"ARRIS GROUP, INC.",-71.3161718,42.6334247
"ARROW ANIMAL HOSPITAL, PLC",-112.1859866,33.5386523
ARTECH INFORMATION SYSTEMS LLC,-74.60988,40.5742696
ARTECH INFORMATION SYSTEMS LLC,-121.2466156,38.6262937
ARVATO DIGITAL SERVICES LLC,-87.9334118,42.5530753
"ASA PROPERTIES, LLC",-98.1244531,29.7030024
ASANTE PHYSICIAN PARTNERS,-123.3283925,42.4390069
ASCELLON CORPORATION,-76.8966397,38.9340002
ASCENSION EPISCOPAL SCHOOL,-91.9901206,30.0996471
"ASCENSION LOGISTICS, INC.",-88.2169027,43.0542058
ASCENSUS,-75.1663153,40.1419544
"ASCENT HOSPITALITY MANAGEMENT CO., LLC",-84.0043513,34.1206564
"ASCENT PHARMACEUTICALS, INC.",-73.2017811,40.7906538
"ASCII GLOBAL SYSTEMS, LLC",-92.9649361,44.9630216
ASIAN COUNSELING TREATMENT SERVICES,-122.3151313,47.8209301
"ASPEN DENTAL MANAGEMENT, INC.",-76.0785332,43.0653446
ASPEN ESPRESSO COMPANY,-106.8175387,39.1910983
ASPEN MEADOW VETERINARY SPECIALISTS,-105.1019275,40.1672068
"ASPIRE SYSTEMS, INC.",-85.8649408,37.7030646
ASTERIX CONSULTING INC,-84.1429719,33.8901036
ATALANTA CORPORATION,-122.0438298,37.5933918
ATC LOGISTICS INC,-118.1597911,33.8894598
ATI ELECTRONICS LLC,-83.5363268,42.5247555
"ATLANTA KNEE AND SHOULDER CLINIC, P.C.",-84.2338093,33.5442781
"ATLANTA KNEE AND SHOULDER CLINIC, P.C.",-84.0176904,33.6676103
ATMEL CORPORATION,-117.689218,33.6469661
"ATOS IT SOLUTIONS AND SERVICES, INC.",-83.1582451,40.0333961
"ATOS IT SOLUTIONS AND SERVICES, INC.",-87.2336092,33.1742847
ATTRA INC.,-84.1688274,39.6895036
AUBURN UNIVERSITY,-85.4807825,32.6098566
AUDUBON CANYON RANCH,NA,NA
AUL CORP.,-122.286865,38.2975381
AULAKH & CHAHAL INC.,-122.5310874,37.9735346
AUREUS TECHSYSTEMS LLC,-104.7613633,39.5186002
AURORA CONSULTING GROUP INC.,-78.6133589,42.7678376
AURORA UNIVERSITY,-88.3200715,41.7605849
"AUS MARKETING RESEARCHING SYSTEMS, INC.",-75.387693,39.9167783
"AUSTIN CRITICAL CARE SPECIALISTS, PA",-97.7277959,31.1171194
"AUTOELECTRIC OF AMERICA, INC.",-100.4995214,28.7091433
"AUTOMOTIVE ROBOTICS, INC.",-89.5800978,40.666149
"AUTOMOTIVE ROBOTICS, INC.",-84.2640904,33.2467807
"AUTONOMINC CONTROLS, INC.",-73.7140195,41.1264849
AVAYA INC.,-104.9719243,39.8680412
AVCO CONSULTING INC,-71.8022934,42.2625932
AVERA MARSHALL REGIONAL MEDICAL CENTER,-95.7911916,44.448423
AVIONICS SALES CORPORATION,-80.2503271,25.9023168
"AVL TEST SYSTEMS, INC.",-83.4702132,42.3714253
AVVN VETERINARY CONSULTING SERVICES LLC D/B/A COMPANION CARE PET HOSPI,-81.269453,28.8028612
AXA ROSENBERG GLOBAL SERVICES LLC,-122.1796888,37.8771476
"AXIA CONSULTING, INC.",-73.9234619,40.7643574
"AXIS, INC",-88.3459048,41.730585
AXLE INFORMATICS LLC,-77.1527578,39.0839973
AYC GROUP LLC,-96.6388833,32.912624
"B & F MACHINE CO., INC.",-72.7795419,41.6612104
B2B GLOBAL LOGISTICS INCORPORATED,-118.2289659,33.8862137
"BACKCOUNTRY.COM, INC.",-111.4979729,40.6460622
BAKER HUGHES INCORPORATED,-91.9612305,30.147146
BAKER HUGHES INCORPORATED,-95.61609,36.3125963
BALL STATE UNIVERSITY,-85.3863599,40.1933767
BALLY GAMING INC.,-74.6166192,39.3822537
"BALLY GAMING, INC.",-92.4453161,42.5348993
BANK OF AMERICA N.A.,-73.064036,41.2306979
BAPTIST MEMORIAL MEDICAL GROUP,-90.0022958,34.9918587
"BARRICK GOLD OF NORTH AMERICA, INC.",-116.1039663,40.7138067
BARRY UNIVERSITY,-80.1928253,25.8631515
BARTLETT REGIONAL HOSPITAL,-134.4197222,58.3019444
"BAY AREA MEDICAL CENTER, INC.",-87.6306623,45.0999849
BAY REGIONAL MEDICAL CENTER,-83.8888647,43.5944677
BAYER HEALTHCARE LLC,-79.8619687,40.5690758
BAYHEALTH MEDICAL CENTER,-75.5243682,39.158168
BAYHEALTH MEDICAL CENTER INC.,-75.4279748,38.9126129
BCS INTERNATIONAL CORP,-73.9485424,40.744679
BEACHSIDE LLC,-84.5193754,34.1014873
BEAUTY ELEMENTS CORP,-80.2781057,25.8575963
"BEAUTY PLUS TRADING CO., INC.",-74.0451405,40.8412111
"BECKMAN COULTER, INC.",-93.6018389,44.7893446
"BECKWITH ELECTRIC COMPANY, INC.",-82.7873244,27.9094665
"BECTON, DICKINSON AND COMPANY",-74.2057011,41.0167639
"BEEBE PHYSICIAN NETWORK, INC.",-75.1393498,38.7745565
"BEEPI, INC.",-122.1141298,37.3852183
"BELCAN ENGINEERING GROUP, INC.",-89.5679474,40.8171184
"BELCAN ENGINEERING GROUP, INC.",-110.966488,32.3909071
"BELL INFO SOLUTIONS,LLC",-85.9213796,39.2014404
"BELMONT HILL SCHOOL, INC.",-71.1776114,42.3956405
"BENCHMARK EDUCATION COMPANY, LLC.",-73.7823549,40.9114882
BENDIX COMMERCIAL VEHICLE SYSTEMS LLC,-82.1076486,41.3683798
BENECIAS LLC,-75.2215651,40.1545535
"BENEFIT RESOURCE, INC.",-93.3499489,44.8896866
"BENEFITS MANAGEMENT GROUP, INC.",-87.9535534,41.8397865
BENSENVILLE ANIMAL CLINIC INC.,-87.9400657,41.9550296
BETH ISRAEL DEACONESS HOSPITAL-PLYMOUTH,-70.6672621,41.9584457
BETHUNE-COOKMAN UNIVERSITY,-81.0228331,29.2108147
BETTER HEALTHCARE OT/PT PLLC,-73.5590157,40.7139898
"BEULAHWORKS, LLC",-87.0611412,41.4730948
"BH GOURMET FOODS, INC.",-80.1373174,26.1224386
BICITIS GROUP INC.,-74.5621025,40.883988
BIKKASANI RAM HELLSTERN CHANDRUPATLA MD PA,-82.3313955,28.8354507
"BILL ME LATER, INC.",-76.6585074,39.4900013
"BILLINGS FLYING SERVICE, INC.",-108.5006904,45.7832856
"BIO-RAD LABORATORIES, INC.",-122.2885808,38.0171441
BIOINFO SYSTEMS LLC,-90.4667501,38.7699175
BIOINFO SYSTEMS LLC,-72.6850932,41.7637111
BIP TECHNOLOGIES INC,-83.4832692,42.4311464
BIRLASOFT INC,-87.8692254,41.8050314
BIRLASOFT INC,-84.4132746,39.2681136
BIRLASOFT INC,-81.3384011,28.7030519
BIRLASOFT INC,-72.8633635,41.6757457
BIRLASOFT INC,-73.212072,44.4758825
"BITECH, INC.",-98.8175623,32.4015198
"BITZER US, INC.",-83.9251809,34.1851017
"BIZCLOUD ANALYTICS, INC.",-105.0813734,39.7047095
BIZRIGHT LLC,-117.9000604,33.9166805
BJC BEHAVIORAL HEALTH,-90.4217895,37.7808846
"BLACK OAK ANALYTICS, INC.",-90.0489801,35.1495343
"BLACKBAUD, INC.",-79.9310512,32.7764749
"BLESSING CORPORATE SERVICES, INC.",-91.4098726,39.9356016
BLICK ART MATERIALS  LLC,-87.8003437,42.1816918
BLUE 7 SOLUTIONS LLC,-87.9356423,43.135288
BLUE CLOUD TECHS CORP.,-72.6162009,42.2042586
BLUE HORIZON VENTURES LLC,-97.6961026,26.1906306
"BLUE STAR INFOTECH AMERICA, INC",-75.4901833,40.6084305
"BLUE STAR INFOTECH AMERICA, INC",-121.9623751,37.2358078
BLULOGIX LLC,-77.2883157,38.9981652
BOARD OF REGENTS OF THE UNIVERSITY OF NEBRASKA,-96.6851982,40.8257625
"BOEHRINGER INGELHEIM VETMEDICA, INC.",-94.846681,39.7674578
"BON SECOURS HEALTH SYSTEM, INC.",-77.4360481,37.5407246
BOR USGA OBO GEORGIA REGENTS UNIVERSITY,-82.0105148,33.4734978
BOSCH AUTOMOTIVE SERVICE SOLUTIONS LLC,-93.2259349,44.0855572
BOSE CORPORATION,-83.2454883,42.583645
BOSTON COLLEGE,-71.166187,42.3303798
"BOSTON HIGASHI SCHOOL, INC.",-71.042551,42.1619739
BOSTON SCIENTIFIC CORPORATION,-93.4557877,45.0724642
BOWLING GREEN STATE UNIVERSITY,-83.6513229,41.3747744
BPA INTERNATIONAL INC,-73.6104058,40.7526008
"BPS SOLUTIONS, INC.",-80.0997657,26.3184123
BRAINBLOOM LLC,-77.9962512,38.4729632
BRAZOS VALLEY EQUINE HOSPITAL,-98.2022633,32.2206958
"BREAKERS DULUTH, LLC",-84.1446376,34.0028786
"BREWER SCIENCE, INC.",-91.7715303,37.948544
"BRIDGE SOLUTIONS GROUP, INC.",-82.888276,39.8532057
"BRIDGE TECHNOLOGIES AND SOLUTIONS, LLC",-81.7786972,26.339806
BRIDGEWATER STATE UNIVERSITY,-70.9750541,41.9903519
BRIGHTECH INTERNATIONAL LLC,-84.309939,39.3600586
BRIGHTEN FREIGHT,-118.3531311,33.9616801
BRIGHTON MANAGEMENT LLC,-117.7946942,33.6839473
BRIGHTPIER TECH LLC,-77.4799837,37.7590318
BRIGHTSIDE MANAGEMENT INC,-77.1872036,38.7892801
"BRIGHTSTAR US, INC.",-95.9979883,41.2523634
BROKER GENIUS LLC,-73.7084645,40.6642699
BROOKHAVEN NATIONAL LABORATORY,-72.8791716,40.8682379
BSW CHILI INC.,-77.6109219,43.16103
BTE TECHNOLOGIES INC,-76.7228227,39.1955042
BUCKNELL UNIVERSITY,-76.8844101,40.9645293
BUDCO,-83.096868,42.4055925
"BUEHNER-FRY, INC.",-121.3153096,44.0581728
"BUILD.COM, INC.",-121.8374777,39.7284944
BURLINGTON COAT FACTORY WAREHOUSE CORPORATION,-74.8648873,40.071222
"BURT PROCESS EQUIPMENT, INC.",-72.9026064,41.3838782
BUSINESS INTELLI SOLUTIONS INC,-80.0833885,40.4086802
BUSINESS INTELLI SOLUTIONS INC,-70.1031201,43.8570065
"BUZZFEED, INC.",-118.2436849,34.0522342
"BWI NORTH AMERICA, INC.",-83.7802214,42.5294773
BYD AMERICA CORPORATION,-87.9806265,42.0883603
"C AND S WHOLESALE GROCERS, INC.",-72.2781409,42.933692
"C.H. ROBINSON WORLDWIDE, INC.",-80.3035602,25.9860762
"CABELA'S, INC.",-99.0816784,40.6993303
"CABLE TELEVISION LABORATORIES, INC.",-105.1319296,39.977763
"CACTUS SKY DIGITAL,  INC.",-76.6121893,39.2903848
"CACTUS SKY DIGITAL,  INC.",-76.6196915,39.4370508
"CADENCE DESIGN SYSTEMS, INC.",-76.0493684,42.098408
CAFFEBENE INC,-74.0087505,40.8342669
CAL MARKETING AND PROMOTION GROUP INC,-118.1270146,34.095287
CALCASIEU PARISH SCHOOL BOARD,-93.2173758,30.2265949
"CALIBER SERVICES, LLC",-76.7966215,42.9106219
